alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,logVisitsPP_TB,log_ID_p_bldgspace,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines,sigma_f,op_adherencesupportvisit,op_coughtriage,op_diagnosticvisit,op_follow-upvisit,op_monitoringvisit,op_screeningvisit,op_screeningvisit_mch,op_treatmentvisit,op_treatmentvisit_dot,op_treatmentvisit_ltbi,op_treatmentvisit_mdr,op_vaccinations,op_visitforcollectingmedicine,op_visitforinjection
2.28329,-0.365475,0.165406,0.0180295,-0.00331205,0.192104,-0.1959,-0.0805094,-0.274614,0.142285,0.343638,0.186287,-0.087987,0.230454,-0.306513,0.259726,0.0466008,0.389009,-0.225179,-0.207057,0.0971483,0.12798,0.131609,0.0555933,-0.14931,-0.0735083,-0.0701985,0.148277,0.0493731,-0.223217,-0.00587519,0.0172868
2.22997,-0.28831,-0.214437,0.14703,-0.0151827,0.387851,0.16729,-0.122855,-0.345723,0.162183,0.36031,0.264962,-0.00746771,0.322082,-0.340751,0.173736,0.221166,0.390501,-0.000321015,-0.247035,0.263492,0.356875,0.134886,0.122406,0.146017,-0.0163871,0.0447433,0.152263,0.232947,-0.121182,-0.188493,-0.0431159
2.00755,-0.44752,0.00205248,0.421072,0.485413,0.731102,0.688903,-0.18613,-0.273949,0.153848,0.351707,0.179893,-0.0833336,-0.027215,-0.255276,0.271703,0.0492693,0.398308,-0.107688,-0.227496,0.208441,-0.125039,0.23572,0.0551965,0.272435,-0.102875,0.0910472,0.0753401,0.184608,-0.0618083,-0.0568174,0.0128424
2.00022,-0.418743,0.217805,0.218566,0.130047,0.344681,0.0752641,-0.091766,-0.308154,0.105357,0.345792,0.0863854,0.021572,0.137564,-0.247066,0.0487114,0.00676428,0.403188,-0.114493,-0.220462,0.202707,-0.0195767,0.166535,0.0357514,-0.0496115,0.050859,-0.0118106,0.197585,0.310906,-0.0897453,-0.176905,0.0714832
2.03693,-0.425842,0.166384,-0.0304516,0.0973914,0.480859,0.302218,-0.17315,-0.278537,0.120509,0.353318,0.0472538,0.0568972,0.0549794,-0.0942665,0.051302,0.031112,0.412575,0.134277,-0.188236,0.235514,-0.0168059,0.132922,0.0575811,0.148754,-0.0427707,0.00395754,0.13802,0.0459286,-0.0402293,-0.212458,-0.175911
1.9375,-0.314291,0.00931094,0.264818,0.248912,0.332648,0.313605,-0.128133,-0.175181,0.12999,0.35323,0.373076,0.328801,0.544918,-0.243816,0.218597,0.22906,0.431372,-0.104647,-0.143516,0.149379,0.103314,0.0858629,0.0248764,0.116701,-0.0478045,-0.0425099,0.0577679,0.0519105,-0.0420134,0.018255,0.0372756
1.64882,-0.227714,0.23049,0.409665,0.466014,0.86871,0.434175,-0.232127,-0.235349,0.161929,0.351579,0.169857,-0.0171738,0.00929022,-0.305487,0.160947,-0.103791,0.424039,-0.0838931,-0.247275,0.285722,0.0447931,0.221152,0.122339,0.076318,0.0618885,-0.0136778,0.0336013,0.246594,-0.0151652,-0.0122489,-0.0392195
2.21495,-0.248824,-0.0141093,0.10793,0.250916,0.310761,0.119118,-0.0998515,-0.270763,0.126621,0.362764,0.120611,0.0153382,0.166554,-0.390169,-0.0876808,-0.0100347,0.436922,-0.055005,-0.218631,0.195363,-0.00403266,0.048382,0.0471548,-0.20615,-0.059708,-0.0721958,0.0667338,0.165357,-0.0460376,-0.210936,-0.107067
2.15393,-0.416414,0.0369553,0.151983,0.136108,0.383386,0.259798,-0.141967,-0.285932,0.0453154,0.360128,0.0446779,0.0404114,0.0143276,-0.083256,0.0616964,0.0415144,0.405967,-0.0832126,-0.125557,0.218671,0.116036,0.0797032,-0.0312998,-0.0597566,0.0228039,-0.019046,0.00838648,0.182938,-0.0767649,-0.131001,-0.0406997
2.01619,-0.210225,0.129093,0.0256154,0.217703,0.363737,-0.175084,-0.170544,-0.233296,0.165439,0.366928,0.199021,0.024532,0.200458,-0.307897,0.0215293,-0.0165089,0.390969,0.0144534,-0.307414,0.161464,0.028279,0.169304,0.0684844,0.130092,-0.199031,-0.0902126,0.0717409,0.100996,-0.113514,-0.149951,-0.103426
2.04966,-0.390579,0.0887055,0.205516,0.260258,0.491606,-0.191644,-0.133463,-0.359685,0.174543,0.335932,0.292964,-0.136305,0.15111,-0.361378,0.0577095,0.132731,0.395741,0.00506924,-0.147294,0.229655,-0.0466849,0.152197,0.094586,0.0480271,0.0411541,0.05177,0.171657,0.22325,-0.0298243,-0.422141,-0.246128
1.92495,-0.310563,0.147187,0.184178,0.297982,0.596162,0.504615,-0.152519,-0.325364,0.0902455,0.379966,0.131434,-0.0313462,0.0712551,-0.113853,0.115034,-0.110771,0.395313,-0.0625534,-0.160497,0.185431,0.0213402,0.136257,0.0888632,-0.070868,-0.0236347,-0.00261242,0.135885,0.137343,-0.00278821,-0.100371,-0.141788
1.60848,-0.322955,0.111681,0.259659,0.39743,0.522447,0.229494,-0.141742,-0.216733,0.142723,0.354914,0.281925,0.168831,0.336811,-0.186915,0.0645606,-0.0427774,0.390833,0.0309151,-0.0465501,0.432262,0.155192,0.332941,0.271967,0.204821,0.12975,0.256418,0.355898,0.354043,0.0843493,-0.0282474,0.0549083
1.79966,-0.420616,0.0114863,0.221339,0.502311,0.765786,0.298797,-0.201901,-0.176801,0.117204,0.363249,0.205735,0.301847,0.393357,-0.205606,0.0437255,0.140604,0.416191,0.112314,-0.260374,0.136841,-0.157761,0.0431819,-0.0506388,0.0356459,-0.00186455,-0.102257,0.0963286,0.061772,-0.0829975,-0.237352,-0.127683
1.89474,-0.284095,0.240397,0.370429,0.414577,0.758844,0.397247,-0.246365,-0.0802084,0.130552,0.369746,0.171913,0.00323141,0.00776756,-0.415353,-0.103143,-0.177204,0.3987,-0.174786,-0.233788,0.198829,0.123687,0.124713,0.0683505,-0.0421201,0.0256826,0.131129,0.156797,0.192747,-0.0551948,-0.0288691,-0.058483
2.18958,-0.43561,0.0573085,0.279912,0.317765,0.472159,-0.0646436,-0.119441,-0.369008,0.158064,0.331431,0.213846,0.0529504,0.00921958,-0.305077,0.00291082,0.191713,0.37865,-0.226576,-0.2669,0.220112,0.169674,0.204103,0.0850831,-0.155502,0.00442227,0.0133669,0.0574979,0.167227,-0.0891445,-0.423284,-0.0960072
