alpha,public,urban,primary,secondary,tertiary,n_services,log_ID_p_bldgspace,logVisits,logVisitsPP_TB,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
0.838456,-0.367847,0.371896,0.529523,0.940883,0.204969,0.198926,0.0549481,-0.371813,-0.321339,0.806798,0.42713,0.47849,0.389236,-0.37815,0.0408307,0.295004
1.20699,-0.211768,0.404538,0.0410803,0.344818,0.126002,0.17623,0.0604701,-0.280596,-0.440928,0.628588,0.42063,0.193976,-0.00325315,-0.473469,-0.210742,0.0530418
1.07985,-0.308369,0.250603,-0.0199279,0.154656,-0.0725599,0.0675883,0.111236,-0.0814402,-0.643489,0.718595,0.697778,0.331653,0.547818,-0.461828,0.361118,0.585527
1.34749,-0.336156,0.250057,-0.0782822,0.44742,0.0214773,0.268448,0.00492412,-0.321357,-0.431459,0.626937,0.0650856,0.0521675,0.136597,-0.0376495,0.00947057,8.78059e-05
1.15138,-0.404311,0.264369,0.394528,0.268415,-0.152597,0.181101,0.1675,-0.334361,-0.323151,0.788441,0.146692,0.298307,0.19055,-0.277007,0.109793,0.0619591
1.48248,-0.470991,0.307805,-0.0126442,0.314026,-0.209542,0.210776,0.0975106,-0.26941,-0.482133,0.675416,0.205921,-0.0634975,0.102799,-0.51093,-0.160093,-0.0395182
1.25515,-0.415686,0.479422,0.170625,0.232712,-0.248445,0.185656,0.00956187,-0.302298,-0.346213,0.654161,0.277421,0.017213,0.0110772,-0.705552,-0.20345,0.108015
1.00964,-0.26905,0.313712,0.103036,0.388591,0.223141,0.189481,0.0785856,-0.267154,-0.422158,0.716682,0.27964,0.404187,0.734415,-0.144788,0.273298,0.17264
1.20551,-0.263151,0.150578,0.520077,0.836262,0.638942,0.337476,0.0875105,-0.519111,-0.375692,0.772121,0.232751,-0.0485454,0.343878,-0.0317136,-0.0430513,-0.197562
0.762442,-0.365979,0.345711,0.36012,0.591124,-0.315518,0.104001,0.180008,-0.283852,-0.286224,0.733617,0.508616,0.532233,0.752174,-0.263791,0.165779,0.0140991
1.2016,-0.436224,0.17011,0.0473872,0.562912,0.320677,0.159227,0.054003,-0.190559,-0.648493,0.660692,0.27883,0.0472013,0.36496,-0.468243,0.350138,0.213887
1.46202,-0.294793,0.316149,0.297058,0.337066,-0.684423,0.178737,0.0547114,-0.151929,-0.388212,0.753197,1.11602,-0.146684,0.0453361,-1.1531,-0.486624,0.142757
0.922855,-0.353074,0.412897,0.176698,0.430359,0.149005,0.207673,0.147213,-0.357356,-0.226213,0.642938,0.327635,0.395817,0.734052,-0.152632,-0.000359447,-0.015261
1.2121,-0.368787,0.304372,0.223536,0.726642,-0.107225,0.309019,0.0177201,-0.280837,-0.512553,0.714277,0.146516,-0.134867,0.110172,-0.292548,-0.0717361,0.300477
1.10602,-0.327576,0.299133,0.317064,0.76618,0.280252,0.324838,0.0373096,-0.505544,-0.243234,0.783061,0.0115272,-0.0206259,0.00382918,0.00130642,-0.0190128,-0.000485559
1.42606,-0.429757,0.288751,0.1251,0.52994,0.300543,0.278467,0.0205515,-0.373151,-0.554423,0.701217,0.225436,0.0717691,0.00270925,-0.637864,-0.12349,-0.0908065
1.39177,-0.386101,0.048663,0.307172,0.476991,0.0521534,0.170936,0.151138,-0.220565,-0.650337,0.701423,0.162927,0.0927993,0.161289,-0.213564,0.110444,0.280835
1.30373,-0.382866,0.307743,0.038033,0.31476,0.14654,0.262876,0.053997,-0.367206,-0.406913,0.692516,0.141313,-0.0989061,0.183144,-0.137735,-0.0177064,-0.0407249
1.2031,-0.297198,0.249151,0.22802,0.672358,0.648185,0.213807,0.0162241,-0.408962,-0.528396,0.729358,0.175202,-0.0345006,0.0955408,-0.468261,-0.0216719,-0.170694
1.2262,-0.475853,0.449964,-0.0103846,0.588631,-0.224394,0.0941329,0.0830247,-0.243037,-0.539995,0.657424,0.152498,-0.0220511,-0.0486704,-0.493793,-0.184947,0.106496
1.33361,-0.341893,0.153097,0.228424,0.433811,0.103758,0.224999,0.154379,-0.353473,-0.342289,0.778973,0.205455,0.162304,0.36641,-0.388687,0.0660194,-0.17251
1.26103,-0.366839,0.488948,0.173645,0.226692,-0.023525,0.269339,-0.0155676,-0.372678,-0.552145,0.758192,0.149762,-0.0444329,-0.195555,-0.215096,0.192395,0.133508
1.19574,-0.366174,0.376972,0.280715,0.388603,0.0925428,0.211113,-0.00475703,-0.327266,-0.413098,0.688565,0.183414,0.204192,0.00580231,-0.375917,-0.143516,0.0756624
1.24494,-0.380575,0.261918,0.217976,0.415939,-0.123702,0.235371,0.0143682,-0.25493,-0.57997,0.675637,0.0986008,0.0645584,0.114318,-0.0442566,0.0556135,-0.0735304
0.946361,-0.39306,0.225038,0.459642,0.320332,-0.0732176,0.125452,0.136344,-0.286824,-0.594842,0.780733,0.307638,0.536082,0.205861,-0.0133965,0.221739,0.370783
1.50428,-0.414194,0.160025,0.113943,0.181672,0.181659,0.234524,0.0112213,-0.269843,-0.450793,0.677312,0.120072,0.194299,-0.0423856,-0.340515,-0.111878,-0.000722855
1.31619,-0.463375,0.398963,0.110323,0.54391,0.0203372,0.225067,0.0284916,-0.338257,-0.520959,0.676181,0.256482,-0.0158177,0.0418695,-0.459074,-0.10411,0.09236
1.12849,-0.323142,0.269963,0.311901,0.477194,0.112824,0.175718,0.0520137,-0.249989,-0.476898,0.685565,0.136361,0.183918,0.0948077,-0.144278,-0.0852627,-0.101515
1.16499,-0.315294,0.432138,0.339426,0.582266,0.441228,0.240415,0.0486916,-0.298407,-0.310449,0.912213,0.0724064,0.207372,0.00677389,-0.0856267,-0.0511275,-0.0122175
1.2235,-0.371705,0.339838,0.202557,0.569959,-0.261503,0.132644,0.157283,-0.200059,-0.388808,0.803692,0.52723,0.188199,0.287267,-0.642723,-0.171756,0.0999522
